날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2023.1.1,108,-0.2,-4.3,3.8
2023.1.2,108,-4.5,-7.4,-0.4
2023.1.3,108,-5,-9,0.6
2023.1.4,108,-1.8,-5.7,3.3
2023.1.5,108,-1.6,-5.6,3.6
2023.1.6,108,0.6,-4.7,5.7
2023.1.7,108,1.5,-1.4,3.8
2023.1.8,108,1.3,-3.7,6.3
2023.1.9,108,3.1,-1.3,7
2023.1.10,108,1.6,-3.9,9.1
2023.1.11,108,2.6,-2,9.2
2023.1.12,108,5.9,-0.6,12.5
2023.1.13,108,8.3,5.1,10.1
2023.1.14,108,6.6,3.8,8.4
2023.1.15,108,-0.2,-3.5,3.8
2023.1.16,108,-4.6,-6.8,-1.2
2023.1.17,108,-3.7,-7,-0.4
2023.1.18,108,-1.9,-4.6,2.2
2023.1.19,108,-0.4,-6,4.3
2023.1.20,108,-3.3,-7.7,2
2023.1.21,108,-4.5,-10.5,1.5
2023.1.22,108,-0.6,-2.8,2.6
2023.1.23,108,-0.8,-6.9,4.6
2023.1.24,108,-14.7,-17,-6.9
2023.1.25,108,-11.3,-17.3,-5.4
2023.1.26,108,-6,-9,-3.5
2023.1.27,108,-7.3,-9.6,-3.8
2023.1.28,108,-6,-11.2,-0.6
2023.1.29,108,-1.8,-8,4.9
2023.1.30,108,-0.9,-4.4,4.2
2023.1.31,108,2.4,-3.5,7.8
2023.2.1,108,0.9,-3,6
2023.2.2,108,-2.4,-5.1,1.4
2023.2.3,108,-1.6,-3.9,3.4
2023.2.4,108,-0.2,-5.2,6
2023.2.5,108,1.7,-3.3,7.1
2023.2.6,108,3,-1.7,8.8
2023.2.7,108,3.5,-0.6,9.5
2023.2.8,108,2.1,-1.3,7.8
2023.2.9,108,4,-2.8,9.9
2023.2.10,108,3.8,1.1,6.2
2023.2.11,108,2.8,-1.2,8.5
2023.2.12,108,3.7,-0.9,7.6
2023.2.13,108,5.9,2.7,8.4
2023.2.14,108,1.7,-2.5,6.6
2023.2.15,108,3.2,-1.2,8.9
2023.2.16,108,2.3,-0.7,4.5
2023.2.17,108,3.4,-1.5,9.8
2023.2.18,108,5.7,3,8.1
2023.2.19,108,3.5,0.2,6.1
2023.2.20,108,-0.5,-3.5,2.4
2023.2.21,108,-1.3,-5.3,4.8
2023.2.22,108,1.2,-4.5,8.4
2023.2.23,108,2.9,-1.8,9.2
2023.2.24,108,3.5,-0.4,8.5
2023.2.25,108,0.7,-2.9,5.7
2023.2.26,108,2.2,-3.4,9.4
2023.2.27,108,4.4,-1.8,12.4
2023.2.28,108,4.3,-0.7,8.7
2023.3.1,108,6,2.9,9
2023.3.2,108,2.2,-1.8,6.6
2023.3.3,108,4.6,-1.9,10.4
2023.3.4,108,7.7,3.7,14.1
2023.3.5,108,8,2.5,15.4
2023.3.6,108,9.2,2.2,16.5
2023.3.7,108,11.7,6.3,19.4
2023.3.8,108,12.5,7.4,17.7
2023.3.9,108,10.3,7.4,13.1
2023.3.10,108,13.5,6.2,22.2
2023.3.11,108,15.2,10.2,22.8
2023.3.12,108,5.9,0.6,12.6
2023.3.13,108,2.9,-1.9,7.6
2023.3.14,108,9.2,3.3,15.4
2023.3.15,108,8.6,3.5,14.4
2023.3.16,108,4.6,0.4,9
2023.3.17,108,7.2,0.7,12.7
2023.3.18,108,7.7,2.5,14
2023.3.19,108,8.3,2.3,15.2
2023.3.20,108,9.5,2.6,17.1
2023.3.21,108,13,5,22.2
2023.3.22,108,17,9.2,25.1
2023.3.23,108,17.4,12.3,23.3
2023.3.24,108,12.5,7.6,18.3
2023.3.25,108,12.5,8,18.7
2023.3.26,108,9.4,4.7,14
2023.3.27,108,7.3,1.9,14.5
2023.3.28,108,9.2,2.8,15.7
2023.3.29,108,11.8,5.1,19.7
2023.3.30,108,13.3,6.4,21.2
2023.3.31,108,15,7.5,23.9
2023.4.1,108,17.5,9.4,25.6
2023.4.2,108,18.8,11.9,25.2
2023.4.3,108,19,11.3,25.9
2023.4.4,108,17.6,12.7,21.7
2023.4.5,108,11.9,8.7,14.9
2023.4.6,108,8.8,7.4,9.7
2023.4.7,108,8.9,4.6,15.7
2023.4.8,108,8.8,3.1,14.9
2023.4.9,108,10.8,3.5,17.8
2023.4.10,108,13.2,6.2,19.1
2023.4.11,108,13.1,9.2,17.4
2023.4.12,108,10.1,4.8,15.3
2023.4.13,108,11.9,5.1,17.2
2023.4.14,108,16.2,11.9,21.3
2023.4.15,108,13.5,9.3,16.6
2023.4.16,108,10.8,7.5,16.1
2023.4.17,108,13.1,6.8,18.1
2023.4.18,108,14,10.7,18.4
2023.4.19,108,19.1,11.5,28.4
2023.4.20,108,15.8,14.5,18.9
2023.4.21,108,16.7,11.4,22.8
2023.4.22,108,16.9,12.2,22.5
2023.4.23,108,16.1,10.7,22.1
2023.4.24,108,15.8,11.5,21.3
2023.4.25,108,10.9,9,13.2
2023.4.26,108,10.2,7.4,13.5
2023.4.27,108,12.9,5.1,20
2023.4.28,108,15.7,9,21.3
2023.4.29,108,13.2,9.9,15.8
2023.4.30,108,12.7,7.9,17.9
2023.5.1,108,14.6,9.8,20.8
2023.5.2,108,16.7,9.1,23.7
2023.5.3,108,19.5,12.4,26.2
2023.5.4,108,21.4,15.6,25.8
2023.5.5,108,18.4,15.5,21.6
2023.5.6,108,12.6,11.7,15.5
2023.5.7,108,14.4,11.1,18.6
2023.5.8,108,15.3,7.9,22
2023.5.9,108,17,10,24.4
2023.5.10,108,18.4,10.7,26
2023.5.11,108,19.5,12.8,26.7
2023.5.12,108,18.4,13.1,24.7
2023.5.13,108,17.8,12.6,23.9
2023.5.14,108,18.1,12.9,23.8
2023.5.15,108,20.6,12.8,27.9
2023.5.16,108,24,17.2,31.2
2023.5.17,108,23.5,18.6,28.7
2023.5.18,108,21.2,18.8,27.6
2023.5.19,108,22.3,16.7,27.8
2023.5.20,108,21.2,16.6,26.7
2023.5.21,108,17.8,15.3,21.9
2023.5.22,108,20.3,15.9,26.8
2023.5.23,108,20.5,14.1,26.9
2023.5.24,108,20.6,14.8,25.9
2023.5.25,108,21.2,15.7,27.4
2023.5.26,108,21.4,15.8,27.3
2023.5.27,108,19.3,18.6,20.7
2023.5.28,108,19.2,18.4,20.2
2023.5.29,108,23.2,19,28.5
2023.5.30,108,24,20.5,28.9
2023.5.31,108,22.8,18.8,28.2
2023.6.1,108,22.8,19.7,26.3
2023.6.2,108,20.4,17.9,25
2023.6.3,108,22,16.6,27.8
2023.6.4,108,22.1,16.9,28
2023.6.5,108,21.5,17.6,26.3
2023.6.6,108,20.3,17.3,25.2
2023.6.7,108,21.4,18.9,25.7
2023.6.8,108,20.4,18.3,23.9
2023.6.9,108,23.3,18.3,28.4
2023.6.10,108,23.2,19.6,28.5
2023.6.11,108,22.1,17.9,27.3
2023.6.12,108,22.2,18.4,27.5
2023.6.13,108,22,19.2,26
2023.6.14,108,20.6,17.5,25
2023.6.15,108,22.7,17.7,28.3
2023.6.16,108,23.7,19.1,28.9
2023.6.17,108,24.2,18.9,30.2
2023.6.18,108,25.9,20.8,32.6
2023.6.19,108,28.5,23.3,34
2023.6.20,108,24.7,21.4,26.4
2023.6.21,108,20.5,19.2,22.1
2023.6.22,108,22.5,18.9,26.4
2023.6.23,108,24.4,20,29.9
2023.6.24,108,26.4,21.9,31.1
2023.6.25,108,28.2,22.8,33.1
2023.6.26,108,24.2,22.3,27.5
2023.6.27,108,25.3,21.4,29.1
2023.6.28,108,26.5,24.2,30.1
2023.6.29,108,24.2,23.2,25.9
2023.6.30,108,25.3,23.2,29.1
2023.7.1,108,27.7,23.3,32.9
2023.7.2,108,26.7,23.5,30.6
2023.7.3,108,29.1,24.1,34.9
2023.7.4,108,26.1,24.5,29.2
2023.7.5,108,24.5,22.1,27.1
2023.7.6,108,27.3,22.4,31.8
2023.7.7,108,26.7,23.3,31.4
2023.7.8,108,25.6,22.4,29.7
2023.7.9,108,24.7,21.6,27
2023.7.10,108,26.3,22.9,30.9
2023.7.11,108,23.5,21.6,25.9
2023.7.12,108,25.8,22,29.1
2023.7.13,108,25.2,24.7,26.5
2023.7.14,108,24.6,23.9,25.1
2023.7.15,108,24.5,23.7,25.7
2023.7.16,108,24.6,23.7,25.4
2023.7.17,108,25.5,23.7,27.8
2023.7.18,108,25.2,24.1,27.7
2023.7.19,108,27.2,22.5,32.4
2023.7.20,108,27.9,24,32.8
2023.7.21,108,29.5,24.6,34.3
2023.7.22,108,27.7,24.6,32.5
2023.7.23,108,25.2,24.5,25.8
2023.7.24,108,26.9,24.6,30
2023.7.25,108,27.8,25.8,30.5
2023.7.26,108,27.6,24.9,31.1
2023.7.27,108,28.4,24.4,32.2
2023.7.28,108,29.5,25.4,34.1
2023.7.29,108,29.1,26.1,33.3
2023.7.30,108,28.8,24.9,34.9
2023.7.31,108,28.7,25.6,33.4
2023.8.1,108,29.9,25.5,34.2
2023.8.2,108,29.7,26.8,33.7
2023.8.3,108,29.5,25.8,33.8
2023.8.4,108,30,26.5,34.4
2023.8.5,108,30.3,26.4,34.9
2023.8.6,108,29.8,27,33
2023.8.7,108,30.4,27.3,34.6
2023.8.8,108,30.9,26.4,35.8
2023.8.9,108,28.3,25.1,31.6
2023.8.10,108,22.2,20.9,25.1
2023.8.11,108,23.5,21.6,24.9
2023.8.12,108,23.3,22.5,24.1
2023.8.13,108,27,22.6,31.1
2023.8.14,108,28.1,24.8,31.9
2023.8.15,108,28.6,24.7,32.7
2023.8.16,108,27.3,24.7,31.6
2023.8.17,108,28.2,24.5,32.4
2023.8.18,108,29.1,25.5,33.3
2023.8.19,108,29.1,26.4,33.6
2023.8.20,108,28.3,25.5,31.8
2023.8.21,108,29.5,26,33.6
2023.8.22,108,27.6,25.8,32.2
2023.8.23,108,24.8,23.2,27.2
2023.8.24,108,25.1,22.3,27.8
2023.8.25,108,26.5,24,30
2023.8.26,108,26.4,23.3,30.3
2023.8.27,108,26.1,22.7,29.6
2023.8.28,108,22.7,20.8,25.6
2023.8.29,108,23.9,22.5,25.5
2023.8.30,108,22.8,21.5,24.5
2023.8.31,108,23.9,21,28.9
2023.9.1,108,24.5,19.7,29.6
2023.9.2,108,25.4,19.7,30.8
2023.9.3,108,25.8,23.1,28.8
2023.9.4,108,27,24.3,30.2
2023.9.5,108,28.5,25,32.8
2023.9.6,108,27.9,24,32.1
2023.9.7,108,26.3,20.9,31.6
2023.9.8,108,25.3,19.6,30.5
2023.9.9,108,25.8,20.8,31.2
2023.9.10,108,25.7,22,29.6
2023.9.11,108,25.5,23.1,29.8
2023.9.12,108,25.7,21.7,29.8
2023.9.13,108,22.1,19.6,24.6
2023.9.14,108,23.4,19.2,27.2
2023.9.15,108,22.3,20.3,24.3
2023.9.16,108,23.9,22,26.6
2023.9.17,108,24.7,22,28
2023.9.18,108,24.7,22.1,28.9
2023.9.19,108,24.1,21.6,27.2
2023.9.20,108,20.6,18.8,23.9
2023.9.21,108,20.1,17.5,23.6
2023.9.22,108,20.5,15.2,26.7
2023.9.23,108,21.8,16.3,27.6
2023.9.24,108,21.8,17.9,26.2
2023.9.25,108,21.6,17.9,26
2023.9.26,108,19.9,18.6,20.8
2023.9.27,108,21.5,20,23.7
2023.9.28,108,22.7,19.6,27.3
2023.9.29,108,21.1,17.4,26.9
2023.9.30,108,19.7,17.1,22.2
2023.10.1,108,18.4,14.4,23.7
2023.10.2,108,18.2,12.9,24.6
2023.10.3,108,17.5,14.4,22.5
2023.10.4,108,17.3,14.2,23.2
2023.10.5,108,14.2,9.9,19.2
2023.10.6,108,15.5,9.6,21.5
2023.10.7,108,16.8,11.7,21.2
2023.10.8,108,17.1,15.2,19.5
2023.10.9,108,17.4,14.1,22.4
2023.10.10,108,17.1,11.9,23.5
2023.10.11,108,17.6,12.9,24
2023.10.12,108,17.5,12,24.1
2023.10.13,108,17.5,14.3,21.5
2023.10.14,108,14.7,12.9,18.2
2023.10.15,108,16.1,10.9,21.2
2023.10.16,108,14.7,10.7,19.6
2023.10.17,108,13.8,7.5,20.9
2023.10.18,108,15.7,9.2,21.6
2023.10.19,108,17,14.9,18.9
2023.10.20,108,11.6,7.2,15.1
2023.10.21,108,10.4,5.9,16.6
2023.10.22,108,12.5,5.4,18.7
2023.10.23,108,15.2,11.1,21.4
2023.10.24,108,15.6,11.2,19.3
2023.10.25,108,16.6,12.7,21.9
2023.10.26,108,17.2,14.6,21.1
2023.10.27,108,15.7,12.6,20.2
2023.10.28,108,14.2,9.4,20.7
2023.10.29,108,14.9,9.8,21.8
2023.10.30,108,15.1,9.7,21.9
2023.10.31,108,16.5,12.7,20.8
2023.11.1,108,19,17.2,20.6
2023.11.2,108,20.8,18.7,25.9
2023.11.3,108,19.5,17.7,22.4
2023.11.4,108,17.4,14.1,20.9
2023.11.5,108,17.3,15.1,20.4
2023.11.6,108,13.3,6.6,19.3
2023.11.7,108,5.8,3.6,9.9
2023.11.8,108,8.4,1.8,16.1
2023.11.9,108,11.4,5.9,18.4
2023.11.10,108,3.4,0.5,9.1
2023.11.11,108,1.7,-1.9,6.7
2023.11.12,108,1.2,-2,5.7
2023.11.13,108,2,-2.2,6.7
2023.11.14,108,5,-0.8,10.8
2023.11.15,108,7,2,12.5
2023.11.16,108,6.6,5.7,7.4
2023.11.17,108,1.6,-1.9,5.9
2023.11.18,108,0.6,-3.8,5.7
2023.11.19,108,5.9,-0.3,13.4
2023.11.20,108,6.2,1.8,12.8
2023.11.21,108,7.4,1.4,14.8
2023.11.22,108,9.5,2.9,15.1
2023.11.23,108,9.9,1.9,14.6
2023.11.24,108,-1.5,-4.4,2.2
2023.11.25,108,-1.3,-5.9,4
2023.11.26,108,4,-0.1,7.2
2023.11.27,108,6.2,4.4,9.3
2023.11.28,108,1.3,-1.2,5.2
2023.11.29,108,-1.4,-4,3
2023.11.30,108,-4.3,-7.3,-0.5
2023.12.1,108,-3.2,-6.8,0.7
2023.12.2,108,2,-4.4,8
2023.12.3,108,0.8,-2.8,6
2023.12.4,108,2.7,-3,9.4
2023.12.5,108,6.8,3.8,12.6
2023.12.6,108,6.1,3.9,8.7
2023.12.7,108,6.6,0.8,11.4
2023.12.8,108,11.2,5.1,16.8
2023.12.9,108,13.7,11.7,16.2
2023.12.10,108,11.4,6.7,15.5
2023.12.11,108,8.9,5,12.3
2023.12.12,108,5.4,3.5,9.3
2023.12.13,108,6.8,2.6,10.3
2023.12.14,108,7.6,6.2,9.1
2023.12.15,108,4.9,3.7,6.2
2023.12.16,108,-4.1,-9.9,3.8
2023.12.17,108,-9.8,-12.4,-6.4
2023.12.18,108,-7.7,-12.2,-3.6
2023.12.19,108,-3.7,-8.2,0.2
2023.12.20,108,-7.4,-11.9,-2.1
2023.12.21,108,-11.7,-14.4,-8
2023.12.22,108,-11.6,-14.7,-8
2023.12.23,108,-6.8,-12.7,-0.9
2023.12.24,108,-2.2,-5.6,3
2023.12.25,108,-0.7,-2.7,2.1
2023.12.26,108,1.9,-2.6,7.2
2023.12.27,108,1.5,-2.8,6.8
2023.12.28,108,1.2,-1.7,4.4
2023.12.29,108,1.3,-1.5,4.6
2023.12.30,108,0.6,-0.9,2.1
2023.12.31,108,2.1,0.6,4.3
2024.1.1,108,3.3,-0.3,7.3
2024.1.2,108,2.9,2.2,4.3
2024.1.3,108,1.8,-1.1,4
2024.1.4,108,1.4,-3.3,4.7
2024.1.5,108,5,1.4,9.1
2024.1.6,108,0.7,-2.7,5.2
2024.1.7,108,-4.4,-8.3,-0.9
2024.1.8,108,-4.7,-10.3,0
2024.1.9,108,-0.6,-1.9,0.4
2024.1.10,108,-1,-4.1,3.3
2024.1.11,108,1.7,-2.4,4.5
2024.1.12,108,0.9,-1.4,4.2
2024.1.13,108,0.4,-3.8,6.4
2024.1.14,108,-0.6,-3.3,2.4
2024.1.15,108,-3.7,-6.9,0.9
2024.1.16,108,-2.1,-7.2,4.3
2024.1.17,108,0.6,-2.3,1.9
2024.1.18,108,4.5,1.4,9.4
2024.1.19,108,5.4,4,9
2024.1.20,108,3.4,1.9,4.9
2024.1.21,108,1.7,-2.4,4.3
2024.1.22,108,-8.7,-11.9,-2.4
2024.1.23,108,-11.7,-14,-8.2
2024.1.24,108,-8,-11.2,-3.7
2024.1.25,108,-5.3,-9.7,-0.5
2024.1.26,108,-1.7,-6.9,4
2024.1.27,108,-0.5,-4.6,4.6
2024.1.28,108,-1.5,-5,3.8
2024.1.29,108,-0.4,-4.8,4.6
2024.1.30,108,1.4,-4,8.1
2024.1.31,108,4.7,0.7,10.6
2024.2.1,108,2.4,-1.3,8.2
2024.2.2,108,3.1,0.7,7.9
2024.2.3,108,4.7,-0.2,8.3
2024.2.4,108,7.3,3.7,12.2
2024.2.5,108,2.7,0.1,6.6
2024.2.6,108,1.2,0,2.9
2024.2.7,108,0.6,-0.9,2.7
2024.2.8,108,0.6,-3,6.2
2024.2.9,108,1.1,-2.5,6.1
2024.2.10,108,1.7,-1.5,7.4
2024.2.11,108,1,-3.1,5.5
2024.2.12,108,3.5,-2.9,10.5
2024.2.13,108,8.2,2,13.7
2024.2.14,108,12.9,8.8,18.3
2024.2.15,108,4.5,0.6,11.6
2024.2.16,108,2.3,-1.5,8.1
2024.2.17,108,4.4,-1.2,11.7
2024.2.18,108,6.2,1.2,9.4
2024.2.19,108,9.1,4.2,11.9
2024.2.20,108,4.3,2.8,6.8
2024.2.21,108,1.9,0,4
2024.2.22,108,0.2,-1.1,1.6
2024.2.23,108,1.8,-1,6.1
2024.2.24,108,2,-1.3,5.9
2024.2.25,108,2.8,0.8,5.9
2024.2.26,108,3.8,-1.2,9.7
2024.2.27,108,5.3,1.2,9.8
2024.2.28,108,6.4,3.2,10.1
2024.2.29,108,4.8,0.3,9.6
